light
79.199
72.339
76.172
78.979
79.321
71.875
75.562
80.249
78.467
72.925
72.607
78.003
80.078
79.810
77.393
77.222
76.221
79.688
76.392
73.706
71.436
79.028
75.513
79.932
73.364
79.053
73.755
76.880
80.249
79.614
78.174
72.388
76.953
79.150
72.119
75.342
80.078
77.124
72.314
72.729
80.347
73.755
73.462
79.761
80.103
79.395
78.516
78.345
80.127
78.540
75.244
73.706
72.974
78.223
79.565
71.875
73.804
79.370
78.662
80.078
79.224
71.484
80.225
74.658
71.777
79.297
77.783
71.558
76.147
72.827
72.876
75.317
71.899
71.484
71.484
75.562
76.685
79.321
80.200
79.150
71.558
74.463
73.950
75.366
74.780
78.101
71.826
75.781
67.529
67.676
69.189
70.264
68.506
67.407
70.483
69.141
67.163
74.292
74.487
66.797
69.971
75.806
71.753
68.628
72.534
75.806
75.708
75.415
75.391
75.220
75.708
74.609
68.359
69.531
74.658
66.797
75.171
72.510
67.798
74.683
75.854
69.141
69.067
75.854
75.757
75.806
74.658
66.553
73.022
73.828
66.553
73.706
75.757
73.389
71.118
71.069
75.244
68.042
68.970
55.664
16.895
7.544
20.068
20.386
8.496
49.585
57.983
68.994
70.093
75.879
67.920
70.801
75.806
68.311
71.753
75.830
69.922
66.821
67.505
68.384
66.919
68.896
73.828
75.830
75.293
74.561
74.927
72.241
75.415
73.853
75.757
70.435
75.732
70.068
66.797
68.750
69.287
74.341
75.757
73.022
66.553
70.972
75.806
71.729
66.724
72.778
73.413
67.358
75.146
73.828
70.020
72.241
75.635
75.562
75.391
75.391
73.755
74.658
75.684
75.757
75.537
75.781
74.756
67.578
74.951
71.948
66.675
67.236
75.122
71.802
66.504
66.748
73.828
73.950
66.650
72.778
71.753
75.415
69.556
67.334
74.438
74.878
69.946
67.603
66.772
71.509
75.708
73.950
70.142
75.659
69.482
71.533
75.366
67.700
70.239
74.609
75.537
75.317
74.609
72.339
66.846
75.610
69.897
75.244
66.577
75.439
71.362
66.650
70.557
75.635
71.460
67.896
73.340
68.213
71.069
74.683
66.479
74.561
71.216
67.334
71.167
75.464
75.562
75.537
75.610
73.364
66.772
75.635
75.562
75.439
75.684
72.876
70.142
67.163
75.635
74.927
71.899
66.479
69.385
69.531
72.803
73.218
67.090
66.431
66.895
74.609
75.391
74.390
68.359
72.607
73.486
75.659
70.850
66.431
66.406
70.752
75.415
72.314
69.141
73.438
70.532
66.943
73.535
75.513
75.391
70.312
66.284
68.115
70.312
68.481
66.553
66.382
66.357
68.799
72.144
67.603
66.333
66.846
66.479
68.237
72.363
75.464
69.873
68.384
75.391
72.803
67.529
69.238
75.391
75.439
75.488
74.634
74.634
68.774
68.823
66.675
71.729
74.219
67.261
69.214
72.925
75.464
72.388
70.142
68.384
67.188
73.560
73.218
71.191
75.562
66.748
75.366
69.922
67.358
71.802
75.610
75.391
75.562
75.610
68.921
69.189
69.141
66.504
69.800
74.536
75.537
74.561
75.562
69.263
66.357
72.632
68.335
75.464
71.484
66.870
75.439
67.236
75.366
68.896
68.823
75.610
66.479
74.854
70.825
73.438
72.046
72.266
66.504
74.927
75.464
70.825
67.529
74.219
